date,family,label,value,method,n_firms
2026-04-16,ivp_bm,ivp_bm,0.03952808119279459,ICC calculation,2575
2026-04-16,growth,growth,0.0825184595670443,ICC calculation,2575
2026-04-16,value,value,0.1220465407598389,ICC calculation,2575
