family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-05-05,0.08341879140793497,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-05-05,0.04755717529459856,ICC calculation,Constituent ICC aggregation,120,,available
Consumer Cyclical,Consumer Cyclical,2026-05-05,0.08889392520525484,ICC calculation,Constituent ICC aggregation,332,,available
Consumer Defensive,Consumer Defensive,2026-05-05,0.07128283871488873,ICC calculation,Constituent ICC aggregation,137,,available
Energy,Energy,2026-05-05,0.08092737472844762,ICC calculation,Constituent ICC aggregation,187,,available
Financial Services,Financial Services,2026-05-05,0.09173452171208016,ICC calculation,Constituent ICC aggregation,510,,available
Healthcare,Healthcare,2026-05-05,0.0942868660920179,ICC calculation,Constituent ICC aggregation,254,,available
Industrials,Industrials,2026-05-05,0.06795315416600252,ICC calculation,Constituent ICC aggregation,382,,available
Real Estate,Real Estate,2026-05-05,0.05736088849046878,ICC calculation,Constituent ICC aggregation,164,,available
Technology,Technology,2026-05-05,0.08161747906537434,ICC calculation,Constituent ICC aggregation,376,,available
Utilities,Utilities,2026-05-05,0.07263019107121987,ICC calculation,Constituent ICC aggregation,80,,available
