date,ticker,label,category,icc,coverage_weight,n_holdings_total,n_holdings_matched,method,holding_source,status,source_file,n_holdings,n_matched
2026-05-05,DIA,SPDR Dow Jones Industrial Average ETF,Large Blend,0.1108888368526957,0.9940285321745445,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,30.0,28.0
2026-05-05,IJR,iShares Core S&P Small-Cap ETF,Small Blend,0.0924324330370011,0.7699848368392075,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,608.0,465.0
2026-05-05,IVV,iShares Core S&P 500 ETF,Large Blend,0.0797116709148693,0.8622588222622437,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,506.0,439.0
2026-05-05,IWD,iShares Russell 1000 Value ETF,Large Value,0.070629112863315,0.842720729049726,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,323.0,268.0
2026-05-05,IWF,iShares Russell 1000 Growth ETF,Large Growth,0.0802489945017327,0.8663614934225533,,,ICC calculation,ishares_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,902.0,778.0
2026-05-05,IWM,iShares Russell 2000 ETF,Small Blend,0.0900270135261566,0.6521533461380051,,,Partial holdings estimate,ishares_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,1676.0,1021.0
2026-05-05,MDY,SPDR S&P MidCap 400 ETF,Mid Blend,0.0836646855747312,0.8576975815630978,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,400.0,343.0
2026-05-05,QQQ,Invesco QQQ Trust,Large Growth,0.0655632644860806,0.5931382253950875,,,Partial holdings estimate,stockanalysis_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,25.0,17.0
2026-05-05,SMH,VanEck Semiconductor ETF,Industry,0.0902698174185821,0.5898521875397059,,,Partial holdings estimate,stockanalysis_full_holdings,ok_partial_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,25.0,17.0
2026-05-05,SPY,SPDR S&P 500 ETF Trust,Large Blend,0.0788587302605082,0.8873604695536024,,,ICC calculation,spdr_full_holdings,ok_full_holdings,data/derived/etf/202605/etf_icc_2026_05_05.csv,504.0,441.0
