date,ticker,label,category,icc,coverage_weight,n_holdings,n_matched,method,holding_source,status,source_file
2026-09-07,DIA,SPDR Dow Jones Industrial Average ETF,Index,0.0674387984998554,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,IJR,iShares Core S&P Small-Cap ETF,Small Cap,0.0780981161322511,0.9200000000000004,25,23,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,IVV,iShares Core S&P 500 ETF,Broad Market,0.0676475612736207,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,IWD,iShares Russell 1000 Value ETF,Style,0.0718326389699441,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,IWF,iShares Russell 1000 Growth ETF,Style,0.0668653328699571,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,IWM,iShares Russell 2000 ETF,Small Cap,0.0575822415249957,0.8121546961325966,25,20,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,MDY,SPDR S&P MidCap 400 ETF Trust,Mid Cap,0.0592442670965355,0.8214067278287462,25,20,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,QQQ,Invesco QQQ Trust,Growth / Nasdaq,0.0466164533181261,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,SMH,VanEck Semiconductor ETF,Theme,0.094903840465224,0.8657281624689235,25,24,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,SPY,SPDR S&P 500 ETF Trust,Broad Market,0.0609730681938272,1.0000000000000002,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,VOO,Vanguard S&P 500 ETF,Broad Market,0.0809146193053645,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,VTI,Vanguard Total Stock Market ETF,Broad Market,0.0892568517571706,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,VTV,Vanguard Value ETF,Style,0.0763987162324179,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,VUG,Vanguard Growth ETF,Style,0.0695848959021309,0.9999999999999998,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XBI,SPDR S&P Biotech ETF,Theme,0.0705316533304528,0.3552592508801945,25,8,Partial holdings estimate,stockanalysis_full_holdings,partial_holdings_estimate,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLB,Materials Select Sector SPDR Fund,Sector,0.1213864089639803,0.9841208365608058,25,24,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLC,Communication Services Select Sector SPDR Fund,Sector,0.0957665123368941,0.8222600027047391,25,23,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLE,Energy Select Sector SPDR Fund,Sector,0.0633911654691564,0.975682009108193,23,21,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLF,Financial Select Sector SPDR Fund,Sector,0.0760162435206718,0.8998003960270062,25,24,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLI,Industrial Select Sector SPDR Fund,Sector,0.0798959157206053,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLK,Technology Select Sector SPDR Fund,Sector,0.083440455106273,1.0000000000000002,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLP,Consumer Staples Select Sector SPDR Fund,Sector,0.0701531341370341,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLRE,Real Estate Select Sector SPDR Fund,Sector,0.0608223441365676,0.9906071463154834,25,23,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLU,Utilities Select Sector SPDR Fund,Sector,0.0735544049854932,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLV,Health Care Select Sector SPDR Fund,Sector,0.0742537204203848,1.0,25,25,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
2026-09-07,XLY,Consumer Discretionary Select Sector SPDR Fund,Sector,0.0817092672774573,0.8920304421485064,25,24,ICC calculation,stockanalysis_full_holdings,icc_calculation,data/derived/etf/202609/etf_icc_2026_09_07.csv
