ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
CB,ok,True,True,True,True,True,forecast_icc,,140366561280.0
CHD,ok,True,False,True,True,True,forecast_icc,,
CIEN,ok,True,True,True,True,True,forecast_icc,,46764838912.0
CI,ok,True,True,True,True,True,forecast_icc,,78425923584.0
CINF,ok,True,True,True,True,True,forecast_icc,,27830175744.0
CTAS,ok,True,True,True,True,True,forecast_icc,,86643834880.0
CSCO,ok,True,True,True,True,True,forecast_icc,,443332591616.0
C,ok,True,True,True,True,True,forecast_icc,,213247868928.0
CFG,ok,True,True,True,True,True,forecast_icc,,30141143040.0
CLX,ok,True,False,True,True,True,forecast_icc,,
CME,ok,True,True,True,True,True,forecast_icc,,95446720512.0
CMS,ok,True,False,True,True,True,forecast_icc,,
KO,ok,True,True,True,True,True,forecast_icc,,383311249408.0
CTSH,ok,True,True,True,True,True,forecast_icc,,26473809920.0
COHR,ok,True,True,True,True,True,forecast_icc,,43441713152.0
COIN,ok,True,True,True,True,True,forecast_icc,,42177433600.0
CL,ok,True,False,True,True,True,forecast_icc,,
CMCSA,ok,True,True,True,True,True,forecast_icc,,87331954688.0
FIX,ok,True,True,True,True,True,forecast_icc,,53493968896.0
COP,ok,True,True,True,True,True,forecast_icc,,143831793664.0
ED,ok,True,False,True,True,True,forecast_icc,,
STZ,ok,True,True,True,True,True,forecast_icc,,22503473152.0
CEG,ok,True,True,True,True,True,forecast_icc,,92114468864.0
COO,ok,True,False,True,True,True,forecast_icc,,
CPRT,ok,True,True,True,True,True,forecast_icc,,28533508096.0
GLW,ok,True,True,True,True,True,forecast_icc,,106638073856.0
CPAY,ok,True,True,True,True,True,forecast_icc,,25677430784.0
CTVA,ok,True,True,True,True,True,forecast_icc,,60534898688.0
CSGP,ok,True,True,True,True,True,forecast_icc,,12181251072.0
COST,ok,True,True,True,True,True,forecast_icc,,431961669632.0
CRH,ok,True,False,True,True,True,forecast_icc,,
CRWD,ok,True,True,True,False,True,forecast_icc,,182655352832.0
CCI,ok,True,True,True,True,True,forecast_icc,,34562326528.0
CSX,ok,True,True,True,True,True,forecast_icc,,93994582016.0
CMI,ok,True,True,True,True,True,forecast_icc,,83621380096.0
CVS,ok,True,True,True,True,True,forecast_icc,,135146217472.0
DHR,ok,True,True,True,True,True,forecast_icc,,138129735680.0
DRI,ok,True,True,True,True,True,forecast_icc,,24307763200.0
DDOG,ok,True,True,True,True,True,forecast_icc,,94044684288.0
DVA,ok,True,True,True,True,True,forecast_icc,,15466017792.0
DECK,ok,True,True,True,True,True,forecast_icc,,14100269056.0
DE,ok,True,True,True,True,True,forecast_icc,,164918280192.0
DELL,ok,True,True,True,True,True,forecast_icc,,238840086528.0
DAL,ok,True,False,True,True,True,forecast_icc,,
DVN,ok,True,False,True,True,True,forecast_icc,,
DXCM,ok,True,True,True,True,True,forecast_icc,,28994496512.0
FANG,ok,True,True,True,True,True,forecast_icc,,56017920000.0
DLR,ok,True,True,True,True,True,forecast_icc,,70806298624.0
DG,ok,True,True,True,True,True,forecast_icc,,28385087488.0
DLTR,ok,True,True,True,True,True,forecast_icc,,24780912640.0
D,ok,True,True,True,True,True,forecast_icc,,62049611776.0
DPZ,ok,True,True,True,True,True,forecast_icc,,11909425152.0
DASH,ok,True,True,True,True,True,forecast_icc,,84324646912.0
DOV,ok,True,True,True,True,True,forecast_icc,,26665338880.0
DOW,ok,True,True,True,False,True,forecast_icc,,21995276288.0
DHI,ok,True,True,True,True,True,forecast_icc,,41160843264.0
DTE,ok,True,False,True,True,True,forecast_icc,,
DUK,ok,True,True,True,True,True,forecast_icc,,100630282240.0
DD,ok,True,False,True,True,True,forecast_icc,,
ETN,ok,True,False,True,True,True,forecast_icc,,
