ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
A,ok,True,True,True,True,True,forecast_icc,,40354947072.0
AA,ok,True,True,True,True,True,forecast_icc,,12746825728.0
AAC,failed,True,True,False,False,False,,missing_positive_eps,497152672.0
AAC-U,failed,False,False,False,False,False,,missing_price,
AAC-W,failed,False,False,False,False,False,,missing_price,
AACG,failed,True,True,False,False,False,,missing_positive_eps,39751592.0
AACI,failed,True,True,False,False,False,,missing_positive_eps,341659520.0
AACO,failed,True,True,False,False,False,,missing_positive_eps,313303072.0
AACP,failed,True,True,False,False,False,,missing_positive_eps,294245376.0
AADX,ok,True,True,True,False,True,forecast_icc,,1989421184.0
AAL,ok,True,True,True,False,True,forecast_icc,,8506313728.0
AAME,ok,True,True,False,True,True,trailing_eps_fallback_icc,,26516396.0
AAMI,ok,True,True,True,True,True,forecast_icc,,3266866432.0
AAOI,ok,True,True,True,False,True,forecast_icc,,8769970176.0
AAON,ok,True,True,True,True,True,forecast_icc,,6309352448.0
AAP,ok,True,True,True,True,True,forecast_icc,,2612858112.0
AAPG,failed,True,True,False,False,False,,missing_positive_eps,1556793728.0
AAPL,ok,True,True,True,True,True,forecast_icc,,4766021713920.0
AARD,failed,True,True,False,False,False,,missing_positive_eps,109643080.0
AAT,ok,True,True,True,True,True,forecast_icc,,1658783360.0
AAUC,failed,True,True,False,False,False,,missing_positive_eps,3132540416.0
ABAT,failed,True,True,False,False,False,,missing_positive_eps,349220896.0
ABBV,ok,True,True,True,True,True,forecast_icc,,450614919168.0
ABCB,ok,True,True,True,True,True,forecast_icc,,5678615040.0
ABCL,failed,True,True,False,False,False,,missing_positive_eps,3389535488.0
ABEO,failed,True,True,False,False,False,,missing_positive_eps,313368416.0
ABEV,ok,True,True,True,True,True,forecast_icc,,46876794880.0
ABG,ok,True,True,True,True,True,forecast_icc,,3748539648.0
ABLV,failed,True,True,False,False,False,,missing_positive_eps,46920424.0
ABM,ok,True,True,True,True,True,forecast_icc,,2876218112.0
ABNB,ok,True,True,True,True,True,forecast_icc,,100386414592.0
ABOS,failed,True,True,False,False,False,,missing_positive_eps,206827440.0
ABR,ok,True,True,True,True,True,forecast_icc,,975122880.0
ABSI,failed,True,True,False,False,False,,missing_positive_eps,1414099456.0
ABT,ok,True,True,True,True,True,forecast_icc,,178852429824.0
ABTC,ok,True,True,True,False,True,forecast_icc,,978212224.0
ABTS,failed,True,True,False,False,False,,missing_positive_eps,4575119.0
ABUS,ok,True,True,True,True,True,forecast_icc,,1014301376.0
ABVC,failed,True,True,False,False,False,,missing_positive_eps,26019990.0
ABVX,failed,True,True,False,False,False,,missing_positive_eps,10117078016.0
ABX,ok,True,True,True,True,True,forecast_icc,,931960128.0
ACA,ok,True,True,True,True,True,forecast_icc,,7132763648.0
ACAA,failed,True,True,False,False,False,,missing_positive_eps,355576224.0
ACAD,ok,True,True,True,True,True,forecast_icc,,4779755008.0
ACB,failed,True,True,False,False,False,,missing_positive_eps,236146528.0
ACCL,ok,True,True,False,True,True,trailing_eps_fallback_icc,,37246236.0
ACCO,ok,True,True,True,True,True,forecast_icc,,387691776.0
ACCS,ok,True,True,True,False,True,forecast_icc,,19213066.0
ACDC,failed,True,True,False,False,False,,missing_positive_eps,945217152.0
ACEL,ok,True,True,True,True,True,forecast_icc,,936160704.0
ACET,failed,True,True,False,False,False,,missing_positive_eps,89215000.0
ACFN,ok,True,True,False,True,True,trailing_eps_fallback_icc,,53152952.0
ACGC,failed,True,True,False,False,False,,missing_positive_eps,291586688.0
ACGL,ok,True,True,True,True,True,forecast_icc,,32826241024.0
ACH,ok,True,True,True,False,True,forecast_icc,,83057080.0
ACHC,ok,True,True,True,False,True,forecast_icc,,2656150784.0
ACHR,failed,True,True,False,False,False,,missing_positive_eps,4196645888.0
ACHR-W,failed,False,False,False,False,False,,missing_price,
ACHV,failed,True,True,False,False,False,,missing_positive_eps,749130112.0
ACI,ok,True,True,True,True,True,forecast_icc,,5678310400.0
ACIC,ok,True,True,True,True,True,forecast_icc,,441969984.0
ACIU,ok,True,True,True,False,True,forecast_icc,,267458448.0
ACIW,ok,True,True,True,True,True,forecast_icc,,5246643712.0
ACLS,ok,True,True,True,True,True,forecast_icc,,3498872576.0
ACM,ok,True,True,True,True,True,forecast_icc,,8093718016.0
ACMR,ok,True,True,True,True,True,forecast_icc,,5041905664.0
ACN,ok,True,True,True,True,True,forecast_icc,,108870615040.0
ACNB,ok,True,True,True,True,True,forecast_icc,,661248832.0
ACNT,ok,True,True,True,False,True,forecast_icc,,133159712.0
ACOG,failed,True,True,False,False,False,,missing_positive_eps,193823024.0
ACON,failed,True,True,False,False,False,,missing_positive_eps,7321222.0
ACP,ok,True,True,False,True,True,trailing_eps_fallback_icc,,608532800.0
ACR,ok,True,True,True,False,True,forecast_icc,,97410840.0
ACRE,ok,True,True,True,False,True,forecast_icc,,242452448.0
ACRS,failed,True,True,False,False,False,,missing_positive_eps,810329920.0
ACRV,failed,True,True,False,False,False,,missing_positive_eps,87420856.0
ACT,ok,True,True,True,True,True,forecast_icc,,6805441536.0
ACTG,failed,True,True,False,False,False,,missing_positive_eps,445971744.0
ACTU,failed,True,True,False,False,False,,missing_positive_eps,27616332.0
ACU,ok,True,True,True,True,True,forecast_icc,,235205040.0
ACV,ok,True,True,False,True,True,trailing_eps_fallback_icc,,270296736.0
ACVA,ok,True,True,True,False,True,forecast_icc,,1226013568.0
ACXP,failed,True,True,False,False,False,,missing_positive_eps,6016833.0
AD,ok,True,True,True,True,True,forecast_icc,,3290524160.0
ADAC,failed,True,True,False,False,False,,missing_positive_eps,290087520.0
ADAG,failed,True,True,False,False,False,,missing_positive_eps,222244464.0
ADAM,ok,True,True,True,True,True,forecast_icc,,822400000.0
ADBE,ok,True,True,True,True,True,forecast_icc,,98909929472.0
ADBT,failed,True,False,False,False,False,,missing_positive_eps,
ADC,ok,True,True,True,True,True,forecast_icc,,8916727808.0
ADCT,failed,True,True,False,False,False,,missing_positive_eps,141711152.0
ADEA,ok,True,True,True,True,True,forecast_icc,,2900919552.0
ADGM,failed,True,True,False,False,False,,missing_positive_eps,12882066.0
ADI,ok,True,True,True,True,True,forecast_icc,,175049277440.0
ADIG,ok,True,True,True,True,True,forecast_icc,,1625515648.0
ADIL,failed,True,True,False,False,False,,missing_positive_eps,17587556.0
ADM,ok,True,True,True,True,True,forecast_icc,,41887109120.0
ADMA,ok,True,True,True,True,True,forecast_icc,,2103216128.0
ADNT,ok,True,True,True,True,True,forecast_icc,,1478876416.0
ADP,ok,True,True,True,True,True,forecast_icc,,106200244224.0
ADPT,failed,True,True,False,False,False,,missing_positive_eps,3867007232.0
ADSE,ok,True,True,True,False,True,forecast_icc,,850353536.0
ADSEW,failed,True,False,False,False,False,,missing_positive_eps,
ADSK,ok,True,True,True,True,True,forecast_icc,,44226490368.0
ADT,ok,True,True,True,True,True,forecast_icc,,5121220608.0
ADTN,ok,True,True,True,False,True,forecast_icc,,585036480.0
ADUR,failed,True,True,False,False,False,,missing_positive_eps,459701216.0
ADUS,ok,True,True,True,True,True,forecast_icc,,2213277952.0
ADV,ok,True,True,True,False,True,forecast_icc,,433824992.0
ADVB,ok,True,True,False,True,True,trailing_eps_fallback_icc,,14621378.0
ADXN,failed,True,True,False,False,False,,missing_positive_eps,4291211.0
AEAQ,failed,True,True,False,False,False,,missing_positive_eps,315621600.0
AEBI,ok,True,True,True,True,True,forecast_icc,,930462912.0
AEC,failed,True,True,False,False,False,,missing_positive_eps,81994408.0
AEE,ok,True,True,True,True,True,forecast_icc,,29054699520.0
AEF,ok,True,True,False,True,True,trailing_eps_fallback_icc,,397893952.0
