date,group,daily_icc,ew_icc,n_firms,method,source_file
2026-02-23,Basic Materials,0.07688932420708455,0.10149032239674174,163,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Communication Services,0.07183775621074168,0.1264523630417039,121,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Consumer Cyclical,0.09677769800710881,0.11141613453567684,329,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Consumer Defensive,0.06873240818655438,0.1032925189664931,132,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Energy,0.10282209077732869,0.1122894918280503,179,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Financial Services,0.09110284170730062,0.11912998702581526,514,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Healthcare,0.08580235049969402,0.09051615630627362,250,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Industrials,0.06644043787506827,0.09087742739236641,375,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Real Estate,0.06344853899764391,0.0944121120966623,165,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Technology,0.07447460593399556,0.09581756996322403,365,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Unknown,0.12454884569454355,0.14150551672731496,2,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
2026-02-23,Utilities,0.08157971359317436,0.08536787957318448,80,ICC calculation,data/202602/icc_live_usall_2026_0223_r1.csv
