date,family,label,value,method,n_firms,yyyymm,year
2026-03-12,Basic Materials,Basic Materials,0.08202229977452202,ICC calculation,166.0,202603,2026
2026-03-12,Communication Services,Communication Services,0.07270671869031017,ICC calculation,121.0,202603,2026
2026-03-12,Consumer Cyclical,Consumer Cyclical,0.10148440892201643,ICC calculation,332.0,202603,2026
2026-03-12,Consumer Defensive,Consumer Defensive,0.07183051025946295,ICC calculation,134.0,202603,2026
2026-03-12,Energy,Energy,0.10128215192632334,ICC calculation,183.0,202603,2026
2026-03-12,Financial Services,Financial Services,0.09255825252315752,ICC calculation,510.0,202603,2026
2026-03-12,Healthcare,Healthcare,0.08959996315211277,ICC calculation,254.0,202603,2026
2026-03-12,Industrials,Industrials,0.07063795781698946,ICC calculation,380.0,202603,2026
2026-03-12,Real Estate,Real Estate,0.05968842889039695,ICC calculation,164.0,202603,2026
2026-03-12,Technology,Technology,0.0794153787037333,ICC calculation,370.0,202603,2026
2026-03-12,Utilities,Utilities,0.07512503009133102,ICC calculation,79.0,202603,2026
