date,family,label,value,method,n_firms,yyyymm,year
2026-03-24,Basic Materials,Basic Materials,0.08441070735516741,ICC calculation,165.0,202603,2026
2026-03-24,Communication Services,Communication Services,0.07538863197805463,ICC calculation,122.0,202603,2026
2026-03-24,Consumer Cyclical,Consumer Cyclical,0.10201681991642099,ICC calculation,333.0,202603,2026
2026-03-24,Consumer Defensive,Consumer Defensive,0.07387786691761722,ICC calculation,135.0,202603,2026
2026-03-24,Energy,Energy,0.08449624564773064,ICC calculation,185.0,202603,2026
2026-03-24,Financial Services,Financial Services,0.09213468043854489,ICC calculation,513.0,202603,2026
2026-03-24,Healthcare,Healthcare,0.09175398290717304,ICC calculation,254.0,202603,2026
2026-03-24,Industrials,Industrials,0.07134070967901178,ICC calculation,385.0,202603,2026
2026-03-24,Real Estate,Real Estate,0.06130876673307641,ICC calculation,162.0,202603,2026
2026-03-24,Technology,Technology,0.08385907264364333,ICC calculation,372.0,202603,2026
2026-03-24,Utilities,Utilities,0.07651651025365729,ICC calculation,80.0,202603,2026
