date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2026-03-24,Technology,0.08385907264364333,0.10029737748268609,372.0,18090708652890.0
2026-03-24,Financial Services,0.09213468043854489,0.12482551625258534,513.0,12706592442556.0
2026-03-24,Communication Services,0.07538863197805463,0.12540418963444286,122.0,10232569260468.0
2026-03-24,Healthcare,0.09175398290717304,0.10271307353795389,254.0,6984077831737.0
2026-03-24,Industrials,0.07134070967901178,0.09486836994705072,385.0,6709391194398.0
2026-03-24,Consumer Cyclical,0.10201681991642099,0.12127303951830976,333.0,6596874534596.0
2026-03-24,Energy,0.08449624564773064,0.10727878371392198,185.0,4766254938511.0
2026-03-24,Consumer Defensive,0.07387786691761722,0.11413216782840224,135.0,3120533844968.0
2026-03-24,Basic Materials,0.08441070735516741,0.11312720399114956,165.0,2585721404302.0
2026-03-24,Utilities,0.07651651025365729,0.0860683297892745,80.0,1767945858064.0
2026-03-24,Real Estate,0.06130876673307641,0.09499537927839335,162.0,1532044789058.0
