date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2026-03-06,Technology,0.0782665807996579,0.09844856412804932,367.0,18363764592633.0
2026-03-06,Financial Services,0.08914074262906974,0.12210398996709407,511.0,13064596426077.0
2026-03-06,Communication Services,0.07277697379360502,0.1240658915746961,122.0,10654224853676.0
2026-03-06,Healthcare,0.08866677788704831,0.09688303743043447,256.0,7363762291429.0
2026-03-06,Industrials,0.06917791948472955,0.09358728172217678,381.0,6864832205788.0
2026-03-06,Consumer Cyclical,0.09857361509378954,0.11718027659283468,330.0,6858995948443.0
2026-03-06,Energy,0.10944476565128898,0.1153125230263383,182.0,4398749278042.0
2026-03-06,Consumer Defensive,0.07071338113138406,0.10879924263338107,133.0,3283179126539.0
2026-03-06,Basic Materials,0.08289217553039496,0.1065944088965378,165.0,2776803660956.0
2026-03-06,Utilities,0.07580795848541376,0.08417832195797084,79.0,1814571286960.0
2026-03-06,Real Estate,0.059653720295392135,0.09269862485985517,163.0,1619256748812.0
