date,family,group,daily_icc,ew_icc,n_firms,method,source_file
2025-11-03,industry,Energy,0.09995689347686995,0.12064243164875842,187,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-03,industry,Financial Services,0.08723692011221193,0.12042309366775328,624,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-03,industry,Healthcare,0.08320248030855198,0.09401861468933402,308,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-03,industry,Industrials,0.06608522579569129,0.09215619412946528,433,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-03,industry,Real Estate,0.07359692975248194,0.09669807313223956,182,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-03,industry,Technology,0.06647921629884043,0.08352072658830552,488,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-03,industry,Utilities,0.08328840015791493,0.09625289542508995,91,ICC calculation,data/202511/icc_live_usall_2025_1103.csv
2025-11-04,industry,Basic Materials,0.09607770683257812,0.12084602808496511,158,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Communication Services,0.06082213713601041,0.1213981906604593,157,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Consumer Cyclical,0.08123560620324367,0.11322087835999096,393,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Consumer Defensive,0.06783554386455451,0.11085283068519707,155,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Energy,0.09973331296837741,0.12238276436816163,187,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Financial Services,0.08715870510657292,0.12067893831036731,624,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Healthcare,0.08265185466716567,0.09286608794443377,308,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Industrials,0.06675625316909065,0.09342588203605756,432,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Real Estate,0.0701920642217408,0.09630082405706926,181,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Technology,0.06749762768608111,0.0852417202538578,488,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-04,industry,Utilities,0.0830708465817402,0.09615934737637447,91,ICC calculation,data/202511/icc_live_usall_2025_1104.csv
2025-11-05,industry,Basic Materials,0.09548681378058743,0.12002804615383564,158,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Communication Services,0.06001410213762901,0.12082135018504242,157,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Consumer Cyclical,0.08066274079469885,0.11216584644005244,393,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Consumer Defensive,0.06787343783390011,0.11018826997015685,155,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Energy,0.09935508541419441,0.1219961137246041,187,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Financial Services,0.08688354815880793,0.11969551539750158,623,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Healthcare,0.08241321426747572,0.09254674388501131,308,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Industrials,0.06651733880728533,0.0927617791318106,432,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Real Estate,0.07010797132780429,0.09575888184845166,181,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Technology,0.06743567553900871,0.08441232516450733,488,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-05,industry,Utilities,0.08301164885604562,0.09572980130048005,91,ICC calculation,data/202511/icc_live_usall_2025_1105.csv
2025-11-06,industry,Basic Materials,0.09652361901514844,0.1215874164587499,159,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Communication Services,0.060287839210267646,0.12077299350882156,158,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Consumer Cyclical,0.08177010395952387,0.11321220195950282,393,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Consumer Defensive,0.0681161042619353,0.1115409822205354,156,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Energy,0.09849383736000437,0.12315957003969376,187,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Financial Services,0.0870540361250103,0.12008241365635464,624,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Healthcare,0.08277966199293224,0.09091157308712691,310,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Industrials,0.06707708016756135,0.0935566670088342,434,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Real Estate,0.0698095142107726,0.09603087765327273,183,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Technology,0.0685034499673539,0.0850994226886587,486,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-06,industry,Utilities,0.08348576648746214,0.09511785792587844,91,ICC calculation,data/202511/icc_live_usall_2025_1106.csv
2025-11-07,industry,Basic Materials,0.09578366132418399,0.1207578204607322,158,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Communication Services,0.06125243726209741,0.11952336467349274,158,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Consumer Cyclical,0.08166252441940412,0.1122658707431724,391,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
2025-11-07,industry,Consumer Defensive,0.0674075819156429,0.10965787685073317,156,ICC calculation,data/202511/icc_live_usall_2025_1107.csv
