etf,symbol,weight,matched,constituent_icc,holding_source
SPY,VRT,0.0032129809734777756,True,0.0659457093066687,spdr_full_holdings
SPY,MO,0.0032065133524423863,True,0.0831461260409563,spdr_full_holdings
SPY,APP,0.003191977057125102,True,0.0874146900971743,spdr_full_holdings
SPY,GLW,0.003166154129020569,True,0.0615182839600326,spdr_full_holdings
SPY,SBUX,0.0030831529923997384,False,,spdr_full_holdings
SPY,COF,0.0030659377069967167,True,0.1450624195043638,spdr_full_holdings
SPY,NEM,0.0030356286593995,True,0.0979795095124495,spdr_full_holdings
SPY,BMY,0.003035137247016909,True,0.0825903965285034,spdr_full_holdings
SPY,CB,0.0030327911491903462,True,0.0850706893542903,spdr_full_holdings
SPY,PGR,0.0029927172619906785,True,0.078664125289881,spdr_full_holdings
SPY,CRWD,0.0029416896342629372,True,0.0362727930327594,spdr_full_holdings
SPY,PH,0.002845245991176396,True,0.0505123719990676,spdr_full_holdings
SPY,INTU,0.002838271105746074,True,0.0828186786347918,spdr_full_holdings
SPY,PWR,0.002836463976339127,True,0.0389920595146545,spdr_full_holdings
SPY,ACN,0.0028281733738844484,True,0.0892421372817978,spdr_full_holdings
SPY,DHR,0.0028201046996025538,True,0.0585743491956257,spdr_full_holdings
SPY,VRTX,0.0027601206849017855,False,,spdr_full_holdings
SPY,TT,0.0027514654861632497,True,0.0558175816923922,spdr_full_holdings
SPY,EQIX,0.00272576937415745,True,0.0268170626494527,spdr_full_holdings
SPY,SO,0.002721251550640083,True,0.0662390009210304,spdr_full_holdings
SPY,CVS,0.002670461703097466,True,0.1177002642665431,spdr_full_holdings
SPY,CME,0.0026684167935053945,True,0.0490705043221196,spdr_full_holdings
SPY,LMT,0.0026538487941634267,True,0.0712785805927859,spdr_full_holdings
SPY,ADBE,0.0026300232196139407,True,0.0999273978024498,spdr_full_holdings
SPY,MDT,0.0026211302406902804,True,0.09189947900764,spdr_full_holdings
SPY,SYK,0.0025974473342518694,True,0.0720009985101231,spdr_full_holdings
SPY,DUK,0.002560242661286039,True,0.06854228722317,spdr_full_holdings
SPY,MCK,0.0025477829795855092,True,0.0692759697594246,spdr_full_holdings
SPY,CMCSA,0.0024933313171919737,True,0.1271772994764811,spdr_full_holdings
SPY,HWM,0.0024536378782885056,True,0.0469925690214653,spdr_full_holdings
SPY,CEG,0.0024509747402151096,True,0.0656182474211743,spdr_full_holdings
SPY,NOW,0.002439228399069954,True,0.0829363641448789,spdr_full_holdings
SPY,BX,0.0023976168666731473,True,0.1270615802868581,spdr_full_holdings
SPY,SNPS,0.0023931307471804627,False,,spdr_full_holdings
SPY,CDNS,0.0023769141385549643,True,0.1111148511071183,spdr_full_holdings
SPY,TMUS,0.002373854700173028,False,,spdr_full_holdings
SPY,WMB,0.002357035715078547,True,0.0549239229694155,spdr_full_holdings
SPY,BK,0.002352026479178589,True,0.0795473587779361,spdr_full_holdings
SPY,CMI,0.0023220978798775714,True,0.0752469403418078,spdr_full_holdings
SPY,PNC,0.002280502199493106,True,0.1151249651781701,spdr_full_holdings
SPY,JCI,0.0022752710354203647,True,0.0647529196594119,spdr_full_holdings
SPY,GD,0.002250113891834181,True,0.0644229929005553,spdr_full_holdings
SPY,ICE,0.002245358288131689,True,0.0628355201197629,spdr_full_holdings
SPY,USB,0.0022419501054782363,True,0.1110247828864257,spdr_full_holdings
SPY,ADP,0.0022035089755497576,True,0.0759965602887361,spdr_full_holdings
SPY,SLB,0.0021792078406300225,True,0.1130678996956476,spdr_full_holdings
SPY,WM,0.0021764337384702352,True,0.0610846500490022,spdr_full_holdings
SPY,AMT,0.002176053290174036,True,0.0478623381768087,spdr_full_holdings
SPY,FDX,0.0021754192096803703,True,0.0819734239728436,spdr_full_holdings
SPY,CSX,0.0021493902054153962,True,0.0676516804126649,spdr_full_holdings
SPY,BSX,0.002144634601712904,True,0.0732880963790337,spdr_full_holdings
SPY,ELV,0.00210034407923036,True,0.0824366897404768,spdr_full_holdings
SPY,FCX,0.0020839213944444206,True,0.1397476560159475,spdr_full_holdings
SPY,ORLY,0.00207899141860617,False,,spdr_full_holdings
SPY,MRSH,0.002055498736315859,True,0.0768712280319857,spdr_full_holdings
SPY,UPS,0.0020366665456539902,True,0.118590977787142,spdr_full_holdings
