date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2026-02-18,Technology,0.07347340623726963,0.0934765152982654,364.0,18775986151167.0
2026-02-18,Financial Services,0.08958426225452908,0.11690103190859895,513.0,13843976314643.0
2026-02-18,Communication Services,0.07237434326799994,0.1260017856858247,120.0,10725714829550.0
2026-02-18,Healthcare,0.08646312286607828,0.08798081896164271,251.0,7681144542488.0
2026-02-18,Consumer Cyclical,0.09514384878233477,0.10990793288128169,329.0,7135888093008.0
2026-02-18,Industrials,0.06633317069460436,0.08924507691519283,376.0,7128724947725.0
2026-02-18,Energy,0.10183294437162817,0.11078427363892523,180.0,4216836456848.0
2026-02-18,Consumer Defensive,0.06942866898543462,0.10220865623510908,132.0,3397206344078.0
2026-02-18,Basic Materials,0.09335384561214521,0.11147553878778833,162.0,2951042256618.0
2026-02-18,Utilities,0.08140440223900225,0.08531423715151627,80.0,1798165945696.0
2026-02-18,Real Estate,0.06479170870258374,0.09161896456659453,165.0,1650263849042.0
