date,family,label,value,method,n_firms,yyyymm,year
2026-02-11,Consumer Defensive,Consumer Defensive,0.06791749396426541,ICC calculation,133.0,202602,2026
2026-02-11,Energy,Energy,0.1034279132677089,ICC calculation,178.0,202602,2026
2026-02-11,Financial Services,Financial Services,0.08745271098648208,ICC calculation,515.0,202602,2026
2026-02-11,Healthcare,Healthcare,0.08632505412518511,ICC calculation,251.0,202602,2026
2026-02-11,Industrials,Industrials,0.065923632320517,ICC calculation,375.0,202602,2026
2026-02-11,Real Estate,Real Estate,0.06374250328765857,ICC calculation,165.0,202602,2026
2026-02-11,Technology,Technology,0.07148959363229235,ICC calculation,361.0,202602,2026
2026-02-11,Utilities,Utilities,0.08075870295920565,ICC calculation,80.0,202602,2026
2026-02-12,Basic Materials,Basic Materials,0.0966441703169155,ICC calculation,162.0,202602,2026
2026-02-12,Communication Services,Communication Services,0.07167365389020164,ICC calculation,120.0,202602,2026
2026-02-12,Consumer Cyclical,Consumer Cyclical,0.0960197344730945,ICC calculation,329.0,202602,2026
2026-02-12,Consumer Defensive,Consumer Defensive,0.06963148299123828,ICC calculation,132.0,202602,2026
2026-02-12,Energy,Energy,0.10391206578189952,ICC calculation,178.0,202602,2026
2026-02-12,Financial Services,Financial Services,0.08892051148073647,ICC calculation,514.0,202602,2026
2026-02-12,Healthcare,Healthcare,0.08729030354315118,ICC calculation,250.0,202602,2026
2026-02-12,Industrials,Industrials,0.06674242816302055,ICC calculation,375.0,202602,2026
2026-02-12,Real Estate,Real Estate,0.06465478999084885,ICC calculation,165.0,202602,2026
2026-02-12,Technology,Technology,0.07304323906880152,ICC calculation,363.0,202602,2026
2026-02-12,Utilities,Utilities,0.08038286949591458,ICC calculation,80.0,202602,2026
2026-02-13,Basic Materials,Basic Materials,0.0937193916355039,ICC calculation,162.0,202602,2026
2026-02-13,Communication Services,Communication Services,0.0721087053932108,ICC calculation,119.0,202602,2026
2026-02-13,Consumer Cyclical,Consumer Cyclical,0.0957418861308528,ICC calculation,329.0,202602,2026
2026-02-13,Consumer Defensive,Consumer Defensive,0.06944448745935411,ICC calculation,132.0,202602,2026
2026-02-13,Energy,Energy,0.10313006312596722,ICC calculation,178.0,202602,2026
2026-02-13,Financial Services,Financial Services,0.08722222510068701,ICC calculation,515.0,202602,2026
2026-02-13,Healthcare,Healthcare,0.08663551507606145,ICC calculation,250.0,202602,2026
2026-02-13,Industrials,Industrials,0.06641363407279094,ICC calculation,374.0,202602,2026
2026-02-13,Real Estate,Real Estate,0.06484277348373182,ICC calculation,165.0,202602,2026
2026-02-13,Technology,Technology,0.07319659618152007,ICC calculation,365.0,202602,2026
2026-02-13,Utilities,Utilities,0.07949795470243148,ICC calculation,80.0,202602,2026
2026-02-16,Basic Materials,Basic Materials,0.09449440691875399,ICC calculation,161.0,202602,2026
2026-02-16,Communication Services,Communication Services,0.07229669622402068,ICC calculation,120.0,202602,2026
2026-02-16,Consumer Cyclical,Consumer Cyclical,0.09583382419010968,ICC calculation,329.0,202602,2026
2026-02-16,Consumer Defensive,Consumer Defensive,0.0693242316042156,ICC calculation,132.0,202602,2026
2026-02-16,Energy,Energy,0.1042244719221668,ICC calculation,178.0,202602,2026
2026-02-16,Financial Services,Financial Services,0.08922519548390524,ICC calculation,513.0,202602,2026
2026-02-16,Healthcare,Healthcare,0.08662396448826218,ICC calculation,250.0,202602,2026
2026-02-16,Industrials,Industrials,0.06659314375093431,ICC calculation,374.0,202602,2026
2026-02-16,Real Estate,Real Estate,0.06451538210784312,ICC calculation,165.0,202602,2026
2026-02-16,Technology,Technology,0.07321544845966255,ICC calculation,363.0,202602,2026
2026-02-16,Utilities,Utilities,0.07974993877814379,ICC calculation,80.0,202602,2026
2026-02-17,Basic Materials,Basic Materials,0.09505122370872841,ICC calculation,161.0,202602,2026
2026-02-17,Communication Services,Communication Services,0.07255749004733383,ICC calculation,120.0,202602,2026
2026-02-17,Consumer Cyclical,Consumer Cyclical,0.09538005725187523,ICC calculation,329.0,202602,2026
2026-02-17,Consumer Defensive,Consumer Defensive,0.06979704651934387,ICC calculation,132.0,202602,2026
2026-02-17,Energy,Energy,0.10392511701019691,ICC calculation,178.0,202602,2026
2026-02-17,Financial Services,Financial Services,0.09029753691422457,ICC calculation,513.0,202602,2026
2026-02-17,Healthcare,Healthcare,0.08630549366754062,ICC calculation,250.0,202602,2026
2026-02-17,Industrials,Industrials,0.06728331782035438,ICC calculation,375.0,202602,2026
2026-02-17,Real Estate,Real Estate,0.06404551255764279,ICC calculation,165.0,202602,2026
2026-02-17,Technology,Technology,0.07318263837360775,ICC calculation,364.0,202602,2026
2026-02-17,Utilities,Utilities,0.08015918893825781,ICC calculation,80.0,202602,2026
