date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2026-02-20,Technology,0.07367350495053596,0.09368352599771478,365.0,18759612985309.0
2026-02-20,Financial Services,0.08952683022172161,0.11653966541374618,513.0,13828711176978.0
2026-02-20,Communication Services,0.07113895736233604,0.12547754551792972,121.0,11052155618311.0
2026-02-20,Healthcare,0.08615923746864265,0.08897188148203429,252.0,7660836501881.0
2026-02-20,Industrials,0.06569997542517515,0.08887957819102003,375.0,7211595352591.0
2026-02-20,Consumer Cyclical,0.09546760831981414,0.10973162048530989,329.0,7167854990234.0
2026-02-20,Energy,0.10311389365286636,0.11223680527177685,180.0,4247865039442.0
2026-02-20,Consumer Defensive,0.06927107643871953,0.10130647918447977,132.0,3420475350896.0
2026-02-20,Basic Materials,0.08027282926625864,0.10002716004903937,165.0,2992412724400.0
2026-02-20,Utilities,0.08186656229398533,0.08531738224849394,80.0,1823534914624.0
2026-02-20,Real Estate,0.06419490401759488,0.09279593462695258,166.0,1657850794002.0
