date,family,label,value,method,n_firms,yyyymm,year
2026-01-08,Basic Materials,Basic Materials,0.09868099104779206,ICC calculation,174.0,202601,2026
2026-01-08,Communication Services,Communication Services,0.05861349692070413,ICC calculation,166.0,202601,2026
2026-01-08,Consumer Cyclical,Consumer Cyclical,0.0768806531112673,ICC calculation,388.0,202601,2026
2026-01-08,Consumer Defensive,Consumer Defensive,0.06664079906334236,ICC calculation,160.0,202601,2026
2026-01-08,Energy,Energy,0.08873468219133837,ICC calculation,193.0,202601,2026
2026-01-08,Financial Services,Financial Services,0.08527588269005824,ICC calculation,640.0,202601,2026
2026-01-08,Healthcare,Healthcare,0.07838845122931414,ICC calculation,340.0,202601,2026
2026-01-08,Industrials,Industrials,0.06622294663952336,ICC calculation,441.0,202601,2026
2026-01-08,Real Estate,Real Estate,0.06299562998625204,ICC calculation,179.0,202601,2026
2026-01-08,Technology,Technology,0.07743853875319218,ICC calculation,502.0,202601,2026
2026-01-08,Utilities,Utilities,0.08447049230062185,ICC calculation,90.0,202601,2026
