date,sector,vw_icc,ew_icc,n_firms,total_mktcap
2026-01-23,Technology,0.07037630203646397,0.08325492562163926,365.0,19154812754568.0
2026-01-23,Financial Services,0.0883633037268772,0.11508404165552164,517.0,13859522557622.0
2026-01-23,Communication Services,0.05641656116431653,0.12310499438938666,118.0,11364764295939.0
2026-01-23,Healthcare,0.07928333852544545,0.08168993577103754,252.0,7594410460279.0
2026-01-23,Consumer Cyclical,0.08267261110706649,0.10248391940998722,332.0,7513254969493.0
2026-01-23,Industrials,0.06444920055210199,0.0855038702427482,377.0,6666957703333.0
2026-01-23,Energy,0.08314980465087121,0.11162049724242683,180.0,3864280976002.0
2026-01-23,Consumer Defensive,0.06959260155005692,0.10020954551834427,136.0,3231756289221.0
2026-01-23,Basic Materials,0.09615041518071762,0.10597384585945077,161.0,2845560502976.0
2026-01-23,Utilities,0.08290163825230391,0.08733564604963649,80.0,1672542065744.0
2026-01-23,Real Estate,0.06349523296737208,0.09096850460603596,165.0,1570417118756.0
