family,label,date,value,method,source,n_items,coverage_weight,status
Basic Materials,Basic Materials,2026-05-01,0.08307941775809172,ICC calculation,Constituent ICC aggregation,167,,available
Communication Services,Communication Services,2026-05-01,0.051550478380095646,ICC calculation,Constituent ICC aggregation,120,,available
Consumer Cyclical,Consumer Cyclical,2026-05-01,0.08887710978456481,ICC calculation,Constituent ICC aggregation,331,,available
Consumer Defensive,Consumer Defensive,2026-05-01,0.07149938819005724,ICC calculation,Constituent ICC aggregation,137,,available
Energy,Energy,2026-05-01,0.08197411788667429,ICC calculation,Constituent ICC aggregation,187,,available
Financial Services,Financial Services,2026-05-01,0.09239635323702114,ICC calculation,Constituent ICC aggregation,509,,available
Healthcare,Healthcare,2026-05-01,0.09582889690581048,ICC calculation,Constituent ICC aggregation,256,,available
Industrials,Industrials,2026-05-01,0.06777184304070206,ICC calculation,Constituent ICC aggregation,383,,available
Real Estate,Real Estate,2026-05-01,0.05641711015333036,ICC calculation,Constituent ICC aggregation,163,,available
Technology,Technology,2026-05-01,0.08091111059090486,ICC calculation,Constituent ICC aggregation,376,,available
Utilities,Utilities,2026-05-01,0.07285736342528921,ICC calculation,Constituent ICC aggregation,80,,available
